frame,id,x1,y1,x2,y2,class,conf
42,6,1057,361,1095,432,player,0.8456692695617676
42,7,953,95,973,144,player,0.9056353569030762
42,8,1177,140,1203,199,player,0.883941113948822
42,9,604,165,628,227,player,0.8713865876197815
42,14,802,106,828,160,player,0.8766064047813416
42,10,855,212,887,285,player,0.9018730521202087
42,13,585,409,634,488,player,0.907941460609436
42,13,515,401,558,504,player,0.9051607251167297
42,79,1040,396,1073,450,player,0.755807101726532
42,80,1251,280,1279,367,player,0.8253598213195801
42,85,707,427,759,509,player,0.9376243352890015
43,2,666,166,700,235,player,0.9024248123168945
43,3,1016,203,1044,268,player,0.9099231362342834
43,4,438,431,493,536,player,0.9192035794258118
43,5,241,275,284,359,player,0.9144890308380127
43,6,1039,364,1090,446,player,0.9069966673851013
43,7,951,96,971,145,player,0.9159212112426758
43,8,1176,141,1203,200,player,0.9005997776985168
43,9,605,165,625,228,player,0.8648219704627991
43,14,801,106,827,161,player,0.8778219819068909
